"['Massachusetts', 'edit]\n']","['South Hadley ', 'Mount Holyoke College)\n']"
"['Massachusetts', 'edit]\n']","['Fitchburg ', 'Fitchburg State College)\n']"
"['Massachusetts', 'edit]\n']","['North Adams ', 'Massachusetts College of Liberal Arts)\n']"
"['Massachusetts', 'edit]\n']","['Springfield ', 'American International College), ', 'Springfield College), and ', 'Western New England College)\n']"
"['Massachusetts', 'edit]\n']","['Waltham ', 'Bentley University), ', 'Brandeis University)\n']"
"['Massachusetts', 'edit]\n']","['Williamstown ', 'Williams College)\n']"
"['Massachusetts', 'edit]\n']","['Framingham ', 'Framingham State University)\n']"
"['Michigan', 'edit]\n']","['Adrian ', 'Adrian College, Siena Heights University)\n']"
"['Michigan', 'edit]\n']","['Albion ', 'Albion College)[17]\n']"
"['Michigan', 'edit]\n']","['Allendale ', 'Grand Valley State University)\n']"
"['Michigan', 'edit]\n']","['Alma ', 'Alma College)\n']"
"['Michigan', 'edit]\n']","['Ann Arbor ', 'University of Michigan)[1]\n']"
"['Michigan', 'edit]\n']","['Berrien Springs ', 'Andrews University)[2]\n']"
"['Michigan', 'edit]\n']","['Big Rapids ', 'Ferris State University)[2]\n']"
"['Michigan', 'edit]\n']","['East Lansing ', 'Michigan State University)[2]\n']"
"['Michigan', 'edit]\n']","['Flint ', 'Kettering University, University of Michigan-Flint)\n']"
"['Michigan', 'edit]\n']","['Hillsdale ', 'Hillsdale College)\n']"
"['Michigan', 'edit]\n']","['Houghton ', 'Michigan Technological University)[5]\n']"
"['Michigan', 'edit]\n']","['Kalamazoo ', 'Western Michigan University, Kalamazoo College)[2]\n']"
"['Michigan', 'edit]\n']","['Marquette ', 'Northern Michigan University)[2]\n']"
"['Michigan', 'edit]\n']","['Midland ', 'Northwood University)\n']"
"['Michigan', 'edit]\n']","['Mount Pleasant ', 'Central Michigan University)[2]\n']"
"['Michigan', 'edit]\n']","['Olivet ', 'Olivet College)[2]\n']"
"['Michigan', 'edit]\n']","['Saginaw ', 'Saginaw Valley State University)\n']"
"['Michigan', 'edit]\n']","['Sault Ste. Marie ', 'Lake Superior State University)\n']"
"['Michigan', 'edit]\n']","['Spring Arbor ', 'Spring Arbor University)[2]\n']"
"['Michigan', 'edit]\n']","['Ypsilanti ', 'Eastern Michigan University)[2]\n']"
"['Minnesota', 'edit]\n']","['Bemidji ', 'Bemidji State University)[2]\n']"
"['Minnesota', 'edit]\n']","['Crookston ', 'University of Minnesota Crookston)[2]\n']"
"['Minnesota', 'edit]\n']","['Duluth ', 'University of Minnesota Duluth, Lake Superior College, The College of St. Scholastica, University of Wisconsin–Superior, Duluth Business University\n']"
"['Minnesota', 'edit]\n']","['Mankato ', 'Minnesota State University, Mankato),[2] Bethany Lutheran College\n']"
"['Minnesota', 'edit]\n']","['Marshall ', 'Southwest Minnesota State University)[2]\n']"
"['Minnesota', 'edit]\n']","['Moorhead ', 'Minnesota State University, Moorhead, Concordia College)[18]\n']"
"['Minnesota', 'edit]\n']","['Morris ', 'University of Minnesota Morris)[2]\n']"
"['Minnesota', 'edit]\n']","['Northfield ', 'Carleton College, St. Olaf College)[5]\n']"
"['Minnesota', 'edit]\n']","['St. Cloud ', 'St. Cloud State University, The College of St. Scholastica)[2]\n']"
"['Minnesota', 'edit]\n']","['St. Joseph ', 'College of Saint Benedict)[2]\n']"
"['Minnesota', 'edit]\n']","['St. Peter ', 'Gustavus Adolphus College)[2]\n']"
"['Minnesota', 'edit]\n']","['Winona ', ""Winona State University, St. Mary's University of Minnesota)[19]\n""]"
"['Mississippi', 'edit]\n']","['Cleveland ', 'Delta State University)[2]\n']"
"['Mississippi', 'edit]\n']","['Hattiesburg ', 'University of Southern Mississippi)[20]\n']"
"['Mississippi', 'edit]\n']","['Itta Bena ', 'Mississippi Valley State University)[2]\n']"
"['Mississippi', 'edit]\n']","['Oxford ', 'University of Mississippi)[2]\n']"
"['Mississippi', 'edit]\n']","['Starkville ', 'Mississippi State University)[2]\n']"
